key_or_source_string,source_files,english_value,russian_value,japanese_value,market_adaptation
expense_fallback,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift,Expense,Расход,経費,yes
expense_plural,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/User+CoreDataProperties.swift,expenses,расходов,経費,yes
expense_saved,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Expense Saved,Расход сохранён,経費を保存しました,yes
expense_vehicle_required,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Please select a vehicle before saving.,Выберите автомобиль перед сохранением.,保存前に車両を選択してください。,yes
expenses,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/UserViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/User+CoreDataProperties.swift,Expenses,Расходы,経費,yes
expenses_count_format,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Expenses (%lld),Расходы (%lld),経費（%lld）,yes
failed_to_save,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ClientViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseDetailSheet.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddDebtView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift,Failed to save,Не удалось сохранить,保存できませんでした,no
fast,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ImageStore.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/BackupExportManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/Calculators/InventoryMetricsCalculator.swift,Fast,Быстро,速い,no
finance_analytics,iOS Car Dealer Tracker/Ezcar24Business/Views/Analytics/AnalyticsHubView.swift,Financial Analytics,Финансовая аналитика,財務分析,no
financial_accounts,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/FinancialAccountsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift,Financial Accounts,Финансовые счета,金融口座,yes
financial_preview,iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift,Financial Preview,Финансы (Предпросмотр),財務プレビュー,no
financial_summary_section,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Financial Summary,Финансовый отчет,財務サマリー,no
follow_up,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/LocalNotificationManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/InteractionType.swift,Follow up,Связаться повторно,フォローアップ,no
free_plan,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Free Plan,Бесплатный план,無料プラン,no
good,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSnapshotBuilder.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/BackupExportManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Analytics/AnalyticsHubView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/Inventory/InventoryHealthScore.swift,Good,Хорошо,良好,no
good_afternoon,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Good Afternoon,Добрый день,こんにちは,no
good_evening,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Good Evening,Добрый вечер,こんばんは,no
good_morning,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift,Good Morning,Доброе утро,おはようございます,no
guest_account_required_message,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,"Guest mode is for viewing only. Sign up to add inventory, expenses, sales, clients, and keep your data synced.","Гостевой режим только для просмотра. Зарегистрируйтесь, чтобы добавлять авто, расходы, продажи, клиентов и синхронизировать данные.",ゲストモードは閲覧専用です。在庫、経費、販売、顧客を追加し同期するには登録してください。,yes
guest_account_required_title,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Create an account to continue,"Создайте аккаунт, чтобы продолжить",続行するにはアカウントを作成してください,yes
guest_preview_action_client,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Add Client,Добавить клиента,顧客を追加,no
guest_preview_action_sale,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Record Sale,Записать продажу,販売を記録,yes
guest_preview_activity_title,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Preview activity,Пример активности,活動をプレビュー,no
guest_preview_avg_days,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Avg. days,Сред. дней,平均日数,no
guest_preview_badge,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Guest preview,Гостевой просмотр,ゲストプレビュー,no
guest_preview_clients_subtitle,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,"Preview leads, reminders, test drives, and follow-up history before you create your own CRM.","Посмотрите лиды, напоминания, тест-драйвы и историю общения перед созданием своей CRM.",CRMを作成する前に、リード、リマインダー、試乗、フォロー履歴を確認できます。,no
guest_preview_clients_title,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Follow every buyer,Ведите каждого покупателя,すべての購入者を追跡,no
guest_preview_conversion,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/CRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Analytics/AnalyticsHubView.swift,Conversion,Конверсия,成約率,no
guest_preview_create_account,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Create account,Создать аккаунт,アカウントを作成,yes
guest_preview_dashboard_subtitle,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Browse the main tabs with sample dealership data. Create an account when you are ready to save real records.,"Откройте основные вкладки с демо-данными дилера. Создайте аккаунт, когда будете готовы сохранять реальные записи.",サンプル販売店データで主要タブを確認できます。実データを保存する準備ができたらアカウントを作成してください。,yes
guest_preview_dashboard_title,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Explore the dealer workspace,Посмотрите рабочее пространство дилера,販売店ワークスペースを体験,yes
guest_preview_expenses_subtitle,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,"See how expenses are grouped by vehicle, employee, category, and date without entering real business data.","Посмотрите, как расходы группируются по авто, сотруднику, категории и дате без ввода реальных данных.",実際の業務データを入力せずに、経費が車両・担当者・カテゴリ・日付別に集計される様子を確認できます。,yes
guest_preview_expenses_title,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Understand expense control,Оцените контроль расходов,経費管理を理解,yes
guest_preview_followups,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Follow-ups,Напоминания,フォローアップ,no
guest_preview_hot_leads,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Hot leads,Горячие лиды,有望リード,no
guest_preview_low_stock,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Low stock,Мало на складе,低在庫,no
guest_preview_month_profit,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Month profit,Прибыль месяца,月間利益,yes
guest_preview_month_spend,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Month spend,Расходы месяца,月間支出,no
guest_preview_parts_subtitle,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,"Preview stock levels, low-stock alerts, and part sales before loading your real warehouse.","Посмотрите остатки, предупреждения о низком запасе и продажи запчастей до загрузки реального склада.",実在庫を登録する前に、部品在庫数、低在庫アラート、部品販売を確認できます。,yes
guest_preview_parts_title,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift,Track parts inventory,Контролируйте склад запчастей,部品在庫を管理,yes
guest_preview_row_brake_pads,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Brake pads,Тормозные колодки,ブレーキパッド,no
guest_preview_row_deposit,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Deposit received,Получен депозит,入金あり,no
guest_preview_row_hot_lead,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Hot lead,Горячий лид,有望リード,no
guest_preview_row_hot_lead_detail,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Interested in a sedan,Интересуется седаном,セダンに興味あり,no
guest_preview_row_inventory,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/MonthlyReportPreviewView.swift,Inventory snapshot,Сводка инвентаря,在庫スナップショット,yes
guest_preview_row_oil_filters,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Oil filters,Масляные фильтры,オイルフィルター,no
guest_preview_row_profit,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Profit recorded,Прибыль учтена,利益を記録,yes
guest_preview_row_reminder,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Follow-up reminder,Напоминание,フォローアップ通知,no
guest_preview_row_reminder_detail,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Call tomorrow,Позвонить завтра,明日電話,no
guest_preview_row_salary,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Team salary,Зарплата команды,チーム給与,no
guest_preview_row_sale_recorded,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Sale recorded,Продажа записана,販売を記録,yes
guest_preview_row_sync,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Cloud sync,Облачная синхронизация,クラウド同期,no
guest_preview_row_sync_detail,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Available after sign-up,Доступно после регистрации,登録後に利用可能,no
guest_preview_row_test_drive,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Test drive,Тест-драйв,試乗,no
guest_preview_row_test_drive_detail,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Scheduled today,Запланирован сегодня,本日予定,no
guest_preview_row_tires,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Tires,Шины,タイヤ,no
guest_preview_row_transport,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Transport,Транспорт,陸送,yes
guest_preview_row_vehicle_prep,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Vehicle preparation,Подготовка авто,納車前整備,yes
guest_preview_sales_subtitle,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,"Preview revenue, deposits, profit, and sold vehicle history before recording a real deal.","Посмотрите выручку, депозиты, прибыль и историю проданных авто перед записью реальной сделки.",実際の販売を記録する前に、売上、入金、利益、販売済み車両履歴を確認できます。,yes
guest_preview_sales_title,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Review sales flow,Оцените процесс продаж,販売フローを確認,yes
guest_preview_units,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/CurrencyFormatter.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/RegionSelectionView.swift,units,шт.,個,no
guest_preview_vehicles_subtitle,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,"Preview inventory cards, cost visibility, status tracking, and sale readiness without saving vehicles.","Посмотрите карточки авто, себестоимость, статусы и готовность к продаже без сохранения машин.",車両を保存せずに、在庫カード、原価表示、ステータス管理、販売準備状況を確認できます。,yes
guest_preview_vehicles_title,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift,Preview vehicle inventory,Посмотрите склад автомобилей,車両在庫をプレビュー,yes
health_score,iOS Car Dealer Tracker/Ezcar24Business/Views/Components/Inventory/InventoryHealthScore.swift,Health Score,Индекс состояния,健全性スコア,no
high_holding_cost,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/InventoryAlertType.swift,High Holding Cost,Высокая стоимость хранения,保有費が高い,yes
highest_holding_cost,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift,Highest Holding Cost,Самая высокая стоимость хранения,保有費 最大,yes
holding_cost,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/MonthlyReportSnapshotBuilder.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/Calculators/HoldingCostCalculator.swift,Holding Cost,Стоимость хранения,在庫保有費,yes
holding_cost_desc,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Components/Inventory/InventoryHealthScore.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/ExpenseCategoryType.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/InventoryAlertType.swift,Holding Cost,Стоимость хранения,在庫保有費,yes
holding_cost_load_failed,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift,Failed to load settings,Не удалось загрузить настройки,設定を読み込めませんでした,yes
holding_cost_per_day,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Holding Cost / Day,Стоимость хранения / день,1日あたり保有費,yes
holding_cost_save_failed,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift,Failed to save settings,Не удалось сохранить настройки,設定を保存できませんでした,yes
holding_cost_settings,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/UserGuideView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Settings/HoldingCostSettingsView.swift,Holding Cost Settings,Настройки стоимости хранения,在庫保有費設定,yes
https://...,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,https://...,https://...,https://...,no
i_owe,iOS Car Dealer Tracker/Ezcar24Business/Models/Debt+Extensions.swift,I Owe,Я должен,支払予定,no
in_progress,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift,In Progress,В процессе,進行中,no
in_transit,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/PersistenceController.swift; iOS Car Dealer Tracker/Ezcar24Business/Utilities/ColorTheme.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddVehicleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/Calculators/HoldingCostCalculator.swift,In Transit,В пути,搬送中,no
inspection_report_label,iOS Car Dealer Tracker/Ezcar24Business/Views/VehicleDetailView.swift,Inspection Report,Отчет осмотра,検査レポート,yes
insurance,iOS Car Dealer Tracker/Ezcar24Business/Views/AddExpenseView.swift,Insurance,Страховка,保険,yes
interaction_closed_lost,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/LeadStage.swift,Closed Lost,Закрыто (потеря),失注,no
interaction_closed_won,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/AddSaleView.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/LeadStage.swift,Closed Won,Успешно закрыто,成約,no
interaction_follow_up,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/InteractionType.swift,Follow Up,Напоминание (Follow Up),フォローアップ,no
interaction_negotiation,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/LeadStage.swift,Negotiation,Переговоры,交渉,no
interaction_offer,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PaywallView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SubscriptionManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/InteractionType.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/LeadStage.swift,Offer,Предложение,見積提示,no
interaction_outreach,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift,Initial Contact,Первичный контакт,初回連絡,no
interaction_qualification,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift,Qualification,Квалификация,見込み確認,no
interaction_test_drive,iOS Car Dealer Tracker/Ezcar24Business/Models/ClientCRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/InteractionType.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Enums/LeadStage.swift,Test Drive,Тест-драйв,試乗,no
interaction_update,iOS Car Dealer Tracker/Ezcar24Business/Ezcar24BusinessApp.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DebtViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartSalesViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/AccountTransactionsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/SalesViewModel.swift,Update,Обновление,更新,no
interactions,iOS Car Dealer Tracker/Ezcar24Business/Models/Client+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/CRMModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PartsDashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/SupabaseModels.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/CloudSyncManager.swift; iOS Car Dealer Tracker/Ezcar24Business/Services/Calculators/LeadScoringEngine.swift,Interactions,История,対応履歴,no
inventory,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/PartsInventoryViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/VehicleViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/HoldingCostSettingsViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/InventoryAlert+CoreDataProperties.swift; iOS Car Dealer Tracker/Ezcar24Business/Models/Vehicle+CoreDataProperties.swift,Inventory,В наличии,在庫,yes
inventory_alert_body,catalog/manual,%@ • %d days in stock,%@ • %d дней на складе,%@ • 在庫%d日,yes
inventory_alert_threshold,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Inventory Alert Threshold,Порог оповещения по инвентарю,在庫アラート基準,yes
inventory_alert_threshold_hint,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Notify when a vehicle exceeds this many days,"Уведомлять, если авто стоит больше заданного количества дней",車両の在庫日数がこの日数を超えたら通知,yes
inventory_alert_title,iOS Car Dealer Tracker/Ezcar24Business/Services/LocalNotificationManager.swift,Inventory Alert,Предупреждение по инвентарю,在庫アラート,yes
inventory_analytics,iOS Car Dealer Tracker/Ezcar24Business/Views/Inventory/InventoryAnalyticsView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Analytics/AnalyticsHubView.swift,Inventory Analytics,Аналитика инвентаря,在庫分析,yes
inventory_health_excellent,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift,Excellent Health,Отличное состояние,在庫状態は非常に良好,yes
inventory_health_excellent_message,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift,Your inventory efficiency is top tier.,Эффективность склада на высоком уровне.,在庫運用は非常に効率的です。,yes
inventory_health_fair,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift,Fair Health,Среднее состояние,在庫状態は普通,yes
inventory_health_fair_message,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift,Consider discounting older units.,Рассмотрите скидки на старые автомобили.,長期在庫は価格調整を検討してください。,yes
inventory_health_good,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift,Good Health,Хорошее состояние,在庫状態は良好,yes
inventory_health_good_message,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift,Inventory flow is healthy.,Движение склада здоровое.,在庫の流れは良好です。,yes
inventory_health_needs_attention,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift,Needs Attention,Требует внимания,要対応,yes
inventory_health_needs_attention_message,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/InventoryAnalyticsViewModel.swift,High holding costs detected.,Обнаружены высокие затраты на хранение.,保管コストが高くなっています。,yes
inventory_value,iOS Car Dealer Tracker/Ezcar24Business/ContentView.swift; iOS Car Dealer Tracker/Ezcar24Business/ViewModels/DashboardViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/PartDetailView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/Inventory/InventoryAnalyticsView.swift,Inventory Value,Стоимость инвентаря,在庫金額,yes
invitation_accepted_switcher,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift,Invitation accepted. Use the switcher to change organizations.,"Приглашение принято. Используйте переключатель, чтобы сменить организацию.",招待を承認しました。切り替えメニューから組織を変更してください。,no
invitation_link_saved_sign_in,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift,Invitation link saved. Sign in to accept.,"Ссылка-приглашение сохранена. Войдите, чтобы принять ее.",招待リンクを保存しました。承認するにはサインインしてください。,no
invite_code_accepted_switcher,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift,Invite code accepted. Use the switcher to change organizations.,"Код приглашения принят. Используйте переключатель, чтобы сменить организацию.",招待コードを承認しました。切り替えメニューから組織を変更してください。,no
invite_code_saved_sign_in,iOS Car Dealer Tracker/Ezcar24Business/Auth/SessionStore.swift,Invite code saved. Sign in to apply.,"Код приглашения сохранен. Войдите, чтобы применить его.",招待コードを保存しました。適用するにはサインインしてください。,no
invite_dealer,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Invite Dealer,Пригласить дилера,販売店を招待,yes
invite_dealer_subtitle,iOS Car Dealer Tracker/Ezcar24Business/Views/AccountView.swift,Give your dealer friends an invite code. You get 1 month free when they subscribe.,"Дайте друзьям‑дилерам код. Вы получаете 1 месяц бесплатно, когда они оформят подписку.",販売店仲間に招待コードを共有しましょう。相手が登録すると1か月無料になります。,yes
invite_existing_account_notice,iOS Car Dealer Tracker/Ezcar24Business/Views/TeamManagementView.swift,Account already exists. Ask the member to sign in or reset their password.,Аккаунт уже существует. Попросите участника войти или сбросить пароль.,アカウントはすでに存在します。メンバーにサインインまたはパスワードリセットを依頼してください。,yes
kei_car,catalog/manual,Kei Car,Кей-кар,軽自動車,yes
last_30_days,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift,Last 30 Days,Последние 30 дней,過去30日,no
last_3_months,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Last 3 Months,3 месяца,過去3か月,no
last_6_months,iOS Car Dealer Tracker/Ezcar24Business/Views/DashboardView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ExpenseListView.swift,Last 6 Months,6 месяцев,過去6か月,no
last_7_days,iOS Car Dealer Tracker/Ezcar24Business/ViewModels/ExpenseViewModel.swift; iOS Car Dealer Tracker/Ezcar24Business/Views/ClientListView.swift,Last 7 Days,Последние 7 дней,過去7日,no
